               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.03418,            0.018018,                   0,             0.74904,              0.6834,              0.7064,             0.29539,            0.036922,             0.01216,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.033892,            0.017909,                   0,             0.69198,             0.66355,             0.68089,             0.26871,            0.038191,            0.012242,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.033237,            0.017331,                   0,             0.70022,             0.64019,             0.64212,             0.27118,            0.037407,            0.012496,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.033188,            0.017928,                   0,             0.73659,             0.64027,             0.66966,             0.30348,             0.03613,            0.012586,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.031979,            0.016425,                   0,             0.77229,             0.63084,             0.68525,             0.30748,            0.035458,            0.012264,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.033175,            0.016636,                   0,             0.77817,             0.69159,              0.7198,             0.31175,            0.036639,            0.011966,                   0,            0.005743,            0.005743,            0.005743
                  45,             0.03302,            0.017196,                   0,             0.77789,             0.72897,             0.74548,             0.32238,            0.037336,             0.01194,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.032812,            0.015942,                   0,             0.82663,             0.60157,             0.69511,             0.32699,            0.037251,            0.013262,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.032574,             0.01704,                   0,             0.80205,              0.6816,             0.72903,             0.32123,            0.036494,            0.012885,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.031589,            0.016896,                   0,             0.76308,             0.70561,             0.74989,             0.34491,            0.035982,            0.012061,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.030907,            0.016394,                   0,             0.81389,             0.67438,             0.72481,             0.33175,            0.037475,            0.011733,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.03073,            0.016386,                   0,             0.79575,             0.69179,              0.7672,             0.33523,            0.036681,            0.012186,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.031343,            0.016811,                   0,              0.7352,             0.74766,             0.76835,              0.3306,            0.035325,            0.011574,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.031435,            0.016374,                   0,             0.80078,             0.63864,             0.72453,             0.31381,            0.035994,            0.012079,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.031121,            0.016421,                   0,             0.80137,             0.64953,             0.72299,             0.31309,            0.036693,            0.012209,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.031056,            0.016616,                   0,             0.78167,             0.66922,             0.70339,             0.31163,            0.036444,            0.012277,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.029241,             0.01586,                   0,             0.67793,             0.64953,              0.6777,             0.31732,             0.03628,               0.013,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.029853,            0.015724,                   0,             0.77582,             0.64686,             0.69169,             0.32087,            0.036905,            0.012616,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.029937,            0.015511,                   0,             0.79237,             0.71963,             0.74598,             0.32833,             0.03637,            0.012698,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.029222,            0.015736,                   0,              0.8075,             0.66645,             0.72751,             0.31605,            0.036849,            0.012822,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.029475,            0.015717,                   0,             0.79033,              0.6729,             0.71228,             0.31607,            0.037306,            0.012541,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.028792,            0.015554,                   0,             0.75875,             0.69626,             0.70617,             0.32345,            0.037227,             0.01261,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.029348,            0.014872,                   0,             0.80101,             0.67716,             0.71281,             0.33798,             0.03671,            0.012911,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.028536,            0.015025,                   0,             0.79473,              0.6729,             0.71769,             0.33091,            0.037661,            0.012844,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.028598,            0.015246,                   0,             0.82373,             0.67757,              0.7384,             0.33791,             0.03723,             0.01261,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.027654,            0.014781,                   0,             0.77118,             0.69294,               0.722,             0.33367,            0.036759,            0.012609,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.027798,             0.01532,                   0,              0.7747,             0.69159,             0.70082,             0.31583,            0.036526,            0.013228,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.028014,            0.014639,                   0,             0.77898,             0.68692,              0.7438,             0.33432,            0.036781,            0.013249,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.027805,            0.014936,                   0,             0.75492,             0.70531,              0.7379,             0.33217,            0.036394,            0.013279,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.026955,            0.015661,                   0,             0.80925,             0.67757,             0.75371,             0.33247,            0.036437,            0.013377,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.027443,            0.014278,                   0,             0.77923,             0.70921,             0.74139,              0.3328,            0.037192,             0.01323,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.027166,            0.014772,                   0,             0.79922,             0.64486,             0.72246,             0.33671,            0.036316,             0.01328,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.02686,            0.014403,                   0,             0.79009,             0.70561,             0.75758,             0.34756,            0.037047,            0.013364,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.028404,            0.014137,                   0,             0.80846,             0.71495,             0.75806,             0.34845,            0.036434,            0.013093,                   0,            0.002971,            0.002971,            0.002971
                  73,             0.02602,            0.013945,                   0,             0.82541,             0.70695,             0.74416,             0.34561,            0.036401,            0.012855,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.027163,            0.013908,                   0,             0.80025,             0.76755,             0.77703,             0.35373,            0.035927,            0.012713,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.025507,            0.014354,                   0,             0.76651,             0.75168,             0.75817,             0.33884,            0.035957,            0.013373,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.026893,            0.013958,                   0,             0.78672,              0.7067,             0.71524,             0.31285,            0.035851,            0.013547,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.025635,            0.013984,                   0,             0.82868,             0.70069,             0.73152,             0.33225,            0.035749,              0.0134,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.023778,            0.014143,                   0,             0.78089,             0.68282,             0.73955,             0.33733,            0.036027,            0.013713,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.025155,            0.014252,                   0,             0.81083,             0.69626,             0.75632,             0.34735,            0.036475,             0.01358,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.02449,            0.013653,                   0,             0.80716,             0.68457,             0.72895,             0.32822,            0.036502,            0.014402,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.025174,             0.01351,                   0,             0.80819,             0.71028,             0.76021,              0.3486,            0.036074,            0.013648,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.024979,            0.013648,                   0,             0.80949,             0.69159,             0.74907,              0.3523,            0.036158,            0.013629,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.024504,             0.01339,                   0,             0.82494,             0.68224,             0.74708,             0.35031,            0.035893,            0.013624,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.024166,            0.013319,                   0,             0.81287,             0.66985,             0.72912,             0.34527,             0.03574,            0.013639,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.023241,            0.013256,                   0,             0.81053,             0.67757,              0.7567,             0.35065,            0.035705,            0.013885,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.024767,            0.013266,                   0,             0.79537,             0.70561,             0.76022,              0.3502,            0.035932,            0.013809,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.024025,             0.01317,                   0,             0.80058,              0.7243,             0.76163,             0.34477,              0.0361,            0.013747,                   0,            0.001486,            0.001486,            0.001486
