               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.032174,             0.01774,                   0,              0.7303,             0.70093,             0.70701,             0.30096,            0.036061,            0.012539,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.031853,            0.017541,                   0,             0.78626,             0.69159,             0.73874,             0.31656,            0.035549,            0.012815,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.030744,            0.016569,                   0,             0.82737,             0.67187,             0.72796,             0.32349,            0.035251,             0.01328,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.031586,            0.017434,                   0,              0.7661,             0.71963,             0.72347,              0.3116,            0.035134,            0.013107,                   0,            0.001882,            0.001882,            0.001882
                  43,             0.03094,            0.016413,                   0,             0.83258,             0.71495,             0.75821,             0.32932,            0.034654,            0.012745,                   0,            0.001684,            0.001684,            0.001684
                  44,             0.03131,            0.016567,                   0,             0.79431,             0.70376,             0.76609,             0.33949,            0.034962,            0.012725,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.030371,            0.016449,                   0,             0.82325,             0.74299,             0.78056,             0.34585,            0.034341,             0.01263,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.029858,            0.015868,                   0,             0.77742,             0.71815,             0.76419,             0.34131,            0.034349,            0.012649,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.030376,            0.016761,                   0,              0.7534,             0.74239,             0.76192,                0.34,            0.034754,             0.01278,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.029515,            0.016124,                   0,             0.84191,             0.67193,              0.7672,             0.34438,            0.034347,            0.012851,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.029721,            0.016393,                   0,             0.76745,             0.70093,             0.74971,             0.33548,            0.034368,            0.012856,                   0,            0.000496,            0.000496,            0.000496
